movie_name,year,duration,imdb_rating,vote_count,metascore,storyline,url
Kokuho,2025,2h 55m,7.6,4.5K,80,"In post-war Japan's economic boom, gangster family-born Kikuo Tachibana finds himself adopted by a kabuki actor. Despite life's challenges, he develops into a gifted performer.",https://www.imdb.com/title/tt35231039/
Meg 2: The Trench,2023,1h 56m,5.0,101K,40,"A research team's journey into the depths of the ocean turns into chaos when a mining operation forces them into a battle for survival, facing off against Megalodons and relentless environmental marauders.",https://www.imdb.com/title/tt9224104/
Chronicle,2012,1h 24m,7.0,277K,69,Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides.,https://www.imdb.com/title/tt1706593/
The King's Man,2021,2h 11m,6.3,195K,44,"In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions of people.",https://www.imdb.com/title/tt6856242/
The Babysitter,2017,1h 25m,6.4,122K,N/A,"When Cole stays up past his bedtime, he discovers that his babysitter belongs to an evil cult that will stop at nothing to keep him quiet.",https://www.imdb.com/title/tt4225622/
Hitman,2007,1h 29m,6.2,186K,35,"A gun-for-hire known only as Agent 47 hired by a group known only as 'The Organization' is ensnared in a political conspiracy, which finds him pursued by both Interpol and the Russian military as he treks across Russia and Eastern Europe.",https://www.imdb.com/title/tt0465494/
Sully,2016,1h 36m,7.4,321K,74,"When pilot Chesley ""Sully"" Sullenberger lands his damaged plane on the Hudson River in order to save the flight's passengers and crew, some consider him a hero while others think he was reckless.",https://www.imdb.com/title/tt3263904/
Alita: Battle Angel,2019,2h 2m,7.3,323K,53,"A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",https://www.imdb.com/title/tt0437086/
Dogville,2003,2h 51m,8.0,168K,61,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",https://www.imdb.com/title/tt0276919/
Noah,2014,2h 18m,5.8,276K,68,Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.,https://www.imdb.com/title/tt1959490/
Mexicali,2026,1h 39m,5.6,328,N/A,"Ex-fighter Joe helps run his partner Estrella's farm in Mexico. After taking underground fights to support workers, he's forced to defend himself and Marco when Chavez's gang attacks them on the road.",https://www.imdb.com/title/tt36363971/
Godzilla: King of the Monsters,2019,2h 12m,6.0,228K,48,"The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",https://www.imdb.com/title/tt3741700/
Love Lies Bleeding,2024,1h 44m,6.6,64K,77,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family.",https://www.imdb.com/title/tt19637052/
Terrifier,2016,1h 25m,5.5,94K,N/A,A maniac named Art the Clown terrorizes two friends on Halloween and everyone who gets in his way.,https://www.imdb.com/title/tt4281724/
Room in Rome,2010,1h 47m,6.0,28K,N/A,A hotel room in the center of Rome serves as the setting for two young and recently acquainted women to have a physical and romantic one-night-stand adventure that touches their very souls.,https://www.imdb.com/title/tt1263750/
JFK,1991,3h 9m,8.0,182K,72,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,https://www.imdb.com/title/tt0102138/
I Am Sam,2001,2h 12m,7.6,162K,28,An intellectually disabled man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,https://www.imdb.com/title/tt0277027/
Run,2020,1h 30m,6.7,112K,67,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.",https://www.imdb.com/title/tt8633478/
Legion,2010,1h 40m,5.3,120K,32,"Angels attacking humanity, led by a fallen angel defending a diner.",https://www.imdb.com/title/tt1038686/
Desire,2011,1h 43m,5.4,9.9K,N/A,"In a social context deteriorated by a countrywide economic crisis, the life of several people will be turned upside down after they meet Cecile, a character who symbolizes desire.",https://www.imdb.com/title/tt1879030/
Enemy at the Gates,2001,2h 11m,7.5,293K,53,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,https://www.imdb.com/title/tt0215750/
Cars 2,2011,1h 46m,6.2,254K,57,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,https://www.imdb.com/title/tt1216475/
Metropolis,1927,2h 33m,8.2,201K,98,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",https://www.imdb.com/title/tt0017136/
Christy,2025,2h 15m,6.4,14K,58,"The life and the incredible career of Christy Martin, the most successful female boxer of the 1990s.",https://www.imdb.com/title/tt32323252/
The Gift,2015,1h 48m,7.0,185K,77,"A married couple, Simon and Robyn, run into Gordo, an old classmate. Things take a turn when Gordo begins to drop in unannounced at their house and inundates them with mysterious gifts.",https://www.imdb.com/title/tt4178092/
A Magnificent Life,2025,1h 30m,6.7,500,58,"It follows the life of Pagnol, a playwright, novelist, and filmmaker who grew up in a middle-class household in Marseille and became one of the world's most inventive and prolific artists from the 1930's to the 1950's.",https://www.imdb.com/title/tt13968662/
Kingsman: The Golden Circle,2017,2h 21m,6.7,400K,44,"After the Kingsman's headquarters is destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy.",https://www.imdb.com/title/tt4649466/
X-Men: Apocalypse,2016,2h 24m,6.8,491K,52,"In the 1980s, the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive by bringing destruction to the world.",https://www.imdb.com/title/tt3385516/
The Son,2022,2h 3m,6.5,20K,45,"Peter has his busy life with new partner Beth and their baby thrown into disarray when his ex-wife Kate turns up with their teenage son, Nicholas.",https://www.imdb.com/title/tt14458442/
Elemental,2023,1h 41m,7.0,163K,58,"Follow Ember and Wade, in a city where fire, water, earth and air live together.",https://www.imdb.com/title/tt15789038/
The Patriot,2000,2h 45m,7.2,312K,63,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,https://www.imdb.com/title/tt0187393/
Vivarium,2019,1h 37m,5.9,90K,64,A young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses.,https://www.imdb.com/title/tt8368406/
Fear,1996,1h 37m,6.2,62K,51,"When Nicole met handsome, charming, affectionate David, he was everything. It seemed perfect, but soon she sees that David has a darker side. And his adoration turns to obsession, their dream into a nightmare, and her love into fear.",https://www.imdb.com/title/tt0116287/
Resident Evil: Welcome to Raccoon City,2021,1h 47m,5.2,72K,44,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.",https://www.imdb.com/title/tt6920084/
Ted 2,2015,1h 55m,6.3,260K,48,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",https://www.imdb.com/title/tt2637276/
Hannibal,2001,2h 11m,6.8,313K,57,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target of revenge from a powerful victim.",https://www.imdb.com/title/tt0212985/
Fruitvale Station,2013,1h 25m,7.5,92K,85,"The story of Oscar Grant III, a 22-year-old Bay Area resident, who crosses paths with friends, enemies, family, and strangers on the last day of 2008.",https://www.imdb.com/title/tt2334649/
Kiss Kiss Bang Bang,2005,1h 43m,7.4,249K,73,"After being mistaken for an actor, a New York thief is sent to Hollywood to train under a private eye for a potential movie role, but the duo are thrown together with a struggling actress into a murder mystery.",https://www.imdb.com/title/tt0373469/
Deja Vu,2006,2h 6m,7.1,345K,59,"After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.",https://www.imdb.com/title/tt0453467/
Munich,2005,2h 44m,7.5,253K,74,"After the Black September capture and massacre of Israeli athletes at the 1972 Olympics, five men are chosen to eliminate the people responsible for that fateful day.",https://www.imdb.com/title/tt0408306/
The Legend of Zelda,N/A,N/A,N/A,N/A,N/A,"A live action adaptation of the hit video game series ""The Legend of Zelda.""",https://www.imdb.com/title/tt29873948/
Scarlet,2025,1h 51m,6.3,1.5K,56,"A medieval princess on a quest to avenge her father's death awakens in a realm between life and death, where she encounters an idealistic young man from the present day who shows her the possibility of a future free of bitterness and rage.",https://www.imdb.com/title/tt35114460/
Shot Caller,2017,2h 1m,7.3,113K,59,A newly-released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.,https://www.imdb.com/title/tt4633690/
Mr. Nobody,2009,2h 21m,7.7,257K,63,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",https://www.imdb.com/title/tt0485947/
Sister Act,1992,1h 40m,6.6,118K,51,"When a nightclub singer is forced to take refuge from the mob in a convent, she ends up turning the convent choir into a soulful chorus complete with a Motown repertoire, until the sudden celebrity of the choir jeopardizes her identity.",https://www.imdb.com/title/tt0105417/
Echo Valley,2025,1h 44m,6.2,23K,54,"Kate is dealing with a personal tragedy while owning and training horses in Echo Valley, an isolated and picturesque place, when her daughter, Claire, arrives at her doorstep, frightened, trembling and covered in someone else's blood.",https://www.imdb.com/title/tt27052633/
Rosemary's Baby,1968,2h 17m,8.0,257K,96,A young woman suspects her neighbors have sinister plans for her pregnancy.,https://www.imdb.com/title/tt0063522/
Minecraft 2,N/A,N/A,N/A,N/A,N/A,"Steve and Alex venture further into the Overworld, discovering unexplored territories and encountering fresh challenges.",https://www.imdb.com/title/tt37788431/
Closer,2004,1h 44m,7.1,250K,65,The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,https://www.imdb.com/title/tt0376541/
Fractured,2019,1h 39m,6.5,112K,36,"A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing.",https://www.imdb.com/title/tt4332232/
Shrek 5,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt6113186/
Isle of Dogs,2018,1h 41m,7.8,210K,82,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",https://www.imdb.com/title/tt5104604/
Preschool,2026,1h 44m,5.0,239,N/A,"Two determined fathers engage in a comical battle to enroll their kids in an elite preschool, escalating into an absurd competition with unexpected results.",https://www.imdb.com/title/tt34890320/
Southpaw,2015,2h 4m,7.3,278K,57,"After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career.",https://www.imdb.com/title/tt1798684/
Jujutsu Kaisen 0,2021,1h 52m,7.8,62K,71,"The prequel to Jujutsu Kaisen (2020), where a high schooler gains control of an extremely powerful cursed spirit and gets enrolled in the Tokyo Prefectural Jujutsu High School by Jujutsu Sorcerers.",https://www.imdb.com/title/tt14331144/
Neighborhood Watch,2025,1h 32m,6.2,10K,74,"When a mentally ill young man thinks he witnesses an abduction and the police refuse to believe him, he reluctantly turns to his next-door neighbor, a bitter and retired security guard, to help him find the missing person.",https://www.imdb.com/title/tt1714918/
Project X,2012,1h 28m,6.7,257K,46,"Three high-school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",https://www.imdb.com/title/tt1636826/
Tusk,2014,1h 42m,5.4,73K,55,A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.,https://www.imdb.com/title/tt3099498/
The Crow,2024,1h 51m,4.7,41K,30,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge.",https://www.imdb.com/title/tt1340094/
The Kerala Story,2023,2h 18m,6.7,80K,N/A,"A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail.",https://www.imdb.com/title/tt24268454/
Boss Level,2020,1h 40m,6.8,90K,56,"Trapped in a time loop that constantly repeats the day of his murder, a former special forces agent must unlock the mystery behind his untimely demise.",https://www.imdb.com/title/tt7638348/
Diary of a Wimpy Kid,2010,1h 34m,6.3,66K,56,"Greg Heffley is a 12-year-old who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.",https://www.imdb.com/title/tt1196141/
The Matrix Resurrections,2021,2h 28m,5.6,302K,63,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",https://www.imdb.com/title/tt10838180/
Mud,2012,2h 10m,7.3,199K,76,"On a Mississippi River island, two young boys encounter a stranger who tells wild tales about bounty hunters and a beautiful woman.",https://www.imdb.com/title/tt1935179/
Knock Knock,2015,1h 39m,4.9,115K,53,"A devoted husband and father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",https://www.imdb.com/title/tt3605418/
Edward Scissorhands,1990,1h 45m,7.8,564K,74,The solitary life of an artificial man with scissors for hands is upended when he is taken in by a suburban family.,https://www.imdb.com/title/tt0099487/
Spiderhead,2022,1h 46m,5.5,73K,54,Prisoners participate in experiments involving mind-altering drugs.,https://www.imdb.com/title/tt9783600/
Tuner,N/A,1h 49m,7.3,251,72,"A talented piano tuner's meticulous skills for tuning pianos lead him to discover an unexpected aptitude for cracking safes, turning his life upside down.",https://www.imdb.com/title/tt33296751/
Sherlock Holmes: A Game of Shadows,2011,2h 9m,7.4,501K,48,"Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.",https://www.imdb.com/title/tt1515091/
A Nightmare on Elm Street,1984,1h 31m,7.4,290K,76,"Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in real life.",https://www.imdb.com/title/tt0087800/
Operation Mincemeat,2021,2h 8m,6.6,44K,65,"During WWII, two intelligence officers use a corpse and false papers to outwit German troops.",https://www.imdb.com/title/tt1879016/
Baramulla,2025,2h 16m,7.0,12K,N/A,A police officer investigating missing children cases discovers disturbing truths while supernatural occurrences threaten his family and Baramulla's tranquility.,https://www.imdb.com/title/tt29247040/
Meet the Fockers,2004,1h 55m,6.4,302K,41,All hell breaks loose when the Byrnes family meets the Focker family for the first time.,https://www.imdb.com/title/tt0290002/
The Protégé,2021,1h 49m,6.1,42K,48,"Rescued as a child by the legendary assassin Moody, Anna is the world's most skilled contract killer. However, when Moody is brutally killed, she vows revenge for the man who taught her everything she knows.",https://www.imdb.com/title/tt6079772/
The Skin I Live In,2011,2h,7.6,180K,70,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",https://www.imdb.com/title/tt1189073/
Bound,1996,1h 49m,7.3,67K,64,Tough ex-con Corky and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.,https://www.imdb.com/title/tt0115736/
Terminator: Dark Fate,2019,2h 8m,6.2,212K,54,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.",https://www.imdb.com/title/tt6450804/
I Saw the TV Glow,2024,1h 40m,5.8,45K,86,A teenager just trying to make it through life in the suburbs is introduced by a classmate to a mysterious late-night TV show.,https://www.imdb.com/title/tt15574270/
Cannibal Holocaust,1980,1h 35m,5.7,67K,22,"An anthropologist ventures into the Amazon rainforest on a rescue mission, where he recovers footage shot by a film crew documenting their disastrous encounters with local cannibal tribes.",https://www.imdb.com/title/tt0078935/
Hidden,2015,1h 24m,6.4,29K,N/A,"Living inside a fallout shelter, a family faces a mysterious threat from the outside.",https://www.imdb.com/title/tt2131532/
The Mummy,2017,1h 50m,5.4,221K,34,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia and terrors that defy human comprehension.",https://www.imdb.com/title/tt2345759/
Wanted,2008,1h 50m,6.7,428K,64,"A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",https://www.imdb.com/title/tt0493464/
Midnight Run,1988,2h 6m,7.5,103K,78,"A bounty hunter pursues a former Mafia accountant who is also being chased by a rival bounty hunter, the F.B.I., and his old mob boss after jumping bail.",https://www.imdb.com/title/tt0095631/
Con Air,1997,1h 55m,6.9,339K,52,"Former US Army Ranger, Cameron Poe, has just been paroled for manslaughter, but must stop a group of violent and deadly criminals from escaping the country after they seize control of the prison transport plane he is on.",https://www.imdb.com/title/tt0118880/
The Florida Project,2017,1h 51m,7.6,146K,92,A single mother and the manager of a roadside motel do their utmost to maintain the innocence of a six-year-old girl's life.,https://www.imdb.com/title/tt5649144/
Rocketman,2019,2h 1m,7.3,209K,69,"The musical fantasy about Elton John's breakthrough years, from his time as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",https://www.imdb.com/title/tt2066051/
Being John Malkovich,1999,1h 53m,7.7,369K,90,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,https://www.imdb.com/title/tt0120601/
Wishful Thinking,2026,1h 45m,8.0,31,N/A,"Follows a couple whose emotional states have supernatural effects on their surroundings, forcing them to evaluate whether their relationship is beneficial or harmful.",https://www.imdb.com/title/tt37599264/
Elysium,2013,1h 49m,6.6,491K,61,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",https://www.imdb.com/title/tt1535108/
Yesterday,2019,1h 56m,6.8,184K,55,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate reality where they never existed.,https://www.imdb.com/title/tt8079248/
Murder on the Orient Express,2017,1h 54m,6.5,320K,52,"When a murder occurs aboard the train on which he's travelling, celebrated Belgian detective Hercule Poirot is recruited to solve the case.",https://www.imdb.com/title/tt3402236/
Match Point,2005,2h 4m,7.6,239K,72,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",https://www.imdb.com/title/tt0416320/
Kung Fu Panda 4,2024,1h 34m,6.3,81K,54,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm.",https://www.imdb.com/title/tt21692408/
The Flash,2023,2h 24m,6.6,246K,55,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",https://www.imdb.com/title/tt0439572/
Mary Poppins,1964,2h 19m,7.8,198K,88,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",https://www.imdb.com/title/tt0058331/
First Blood,1982,1h 33m,7.7,300K,61,Green Beret veteran Rambo takes on a Pacific Northwest sheriff and the National Guard.,https://www.imdb.com/title/tt0083944/
Invasion U.S.A.,1985,1h 47m,5.5,13K,29,A one-man army comes to the rescue when the United States are invaded by communists.,https://www.imdb.com/title/tt0089348/
Scared to Death,2024,1h 38m,4.5,133,N/A,"Jasper, a young filmmaker, seizes a chance to direct when his crew attends a seance in a haunted children's shelter. Trapped inside, they're haunted by ghostly orphans and a sinister force.",https://www.imdb.com/title/tt6293780/
The Hunt for Red October,1990,2h 15m,7.5,230K,58,"Moscow, Washington D.C. and a CIA Analyst track a rogue Soviet Captain and his new submarine.",https://www.imdb.com/title/tt0099810/
The Last House on the Left,2009,1h 53m,6.5,108K,42,"After kidnapping and brutally assaulting two young women, a gang unknowingly finds refuge at a vacation home belonging to the parents of one of the victims: a mother and father who devise an increasingly gruesome series of revenge tactics.",https://www.imdb.com/title/tt0844708/
The Bone Collector,1999,1h 58m,6.7,200K,45,A quadriplegic ex-homicide detective and his partner try to track down a serial killer who is terrorizing New York City.,https://www.imdb.com/title/tt0145681/
The Fabelmans,2022,2h 31m,7.5,134K,85,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",https://www.imdb.com/title/tt14208870/
Virgin Witch,1971,1h 28m,4.8,1.8K,N/A,A pair of miniskirted birds who travel to a remote castle in order to land a contract in the modeling agency of the mysterious lesbian Sybil Waite (In HD).,https://www.imdb.com/title/tt0069464/
Atomic Blonde,2017,1h 55m,6.7,219K,63,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,https://www.imdb.com/title/tt2406566/
Maharaja,2024,2h 21m,8.3,81K,N/A,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",https://www.imdb.com/title/tt26548265/
The Blues Brothers,1980,2h 13m,7.9,229K,60,"Jake Blues rejoins his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",https://www.imdb.com/title/tt0080455/
White Men Can't Jump,1992,1h 55m,6.8,105K,65,"Two basketball hustlers, black Sidney Deane and white Billy Hoyle, join forces to double their chances of winning money on the street courts as well as in a tournament.",https://www.imdb.com/title/tt0105812/
Sound of Falling,2025,2h 35m,7.1,4.5K,90,"A remote German farm harbors generations of secrets. Four women, separated by decades but united by trauma, uncover the truth behind its weathered walls.",https://www.imdb.com/title/tt28690468/
Return of the Living Dead,N/A,N/A,N/A,N/A,N/A,"Taking place 18 months after the events at the UNEEDA Warehouse in Louisville, KY, a new Trioxin 2-4-5 leak puts a small Pennsylvania town on the brink of a zombie outbreak during Christmas 1985.",https://www.imdb.com/title/tt31350873/
Aquaman,2018,2h 23m,6.8,552K,55,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",https://www.imdb.com/title/tt1477834/
Giant,2025,1h 50m,6.7,1.9K,50,"Inspired by the real-life story of Prince Naseem ""Naz"" Hamed, a British-Yemeni boxer, and his journey from humble beginnings to becoming a world champion and his training under Brendan Ingle, who played a crucial role in his success.",https://www.imdb.com/title/tt26452616/
Sleepless in Seattle,1993,1h 45m,6.8,207K,72,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,https://www.imdb.com/title/tt0108160/
Insidious: The Bleeding World,N/A,N/A,N/A,N/A,N/A,The horror series returns to its supernatural roots. A new protagonist faces mysterious apparitions that go far beyond classic haunting phenomena. Evil finds new ways into reality.,https://www.imdb.com/title/tt32393988/
Monsters University,2013,1h 44m,7.2,423K,65,"A look at the relationship between Mike Wazowski and James P. ""Sully"" Sullivan during their days at Monsters University, when they weren't necessarily the best of friends.",https://www.imdb.com/title/tt1453405/
Let the Right One In,2008,1h 54m,7.8,240K,82,"A bullied boy forms a unique friendship with his new neighbor, a peculiar girl with a dark secret.",https://www.imdb.com/title/tt1139797/
The Lego Batman Movie,2017,1h 44m,7.3,192K,75,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",https://www.imdb.com/title/tt4116284/
The Dresden Sun,2026,2h 9m,2.9,364,N/A,"A mercenary's heist of ""the sphere"" from Peredor Corp goes wrong. C and Earth Corp chase otherworldly tech for a science project. A financial analyst flees deadly rivals amid corporate espionage.",https://www.imdb.com/title/tt1959374/
The Power of the Dog,2021,2h 6m,6.8,222K,89,"Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.",https://www.imdb.com/title/tt10293406/
The Seventh Seal,1957,1h 36m,8.1,216K,88,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",https://www.imdb.com/title/tt0050976/
The Bourne Ultimatum,2007,1h 55m,8.0,683K,85,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,https://www.imdb.com/title/tt0440963/
The Third Man,1949,1h 44m,8.1,195K,97,"Pulp novelist Holly Martins travels to shadowy, mystifying post-war Vienna only to find himself investigating the mysterious sudden death of old friend Harry Lime.",https://www.imdb.com/title/tt0041959/
Holes,2003,1h 57m,7.0,109K,71,A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.,https://www.imdb.com/title/tt0311289/
Brazil,1985,2h 12m,7.8,222K,84,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,https://www.imdb.com/title/tt0088846/
Sucker Punch,2011,1h 50m,6.1,261K,33,A young girl institutionalized by her abusive stepfather retreats to an alternative reality as a coping strategy and envisions a plan to help her escape.,https://www.imdb.com/title/tt0978764/
Aquaman and the Lost Kingdom,2023,2h 4m,5.6,117K,42,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.",https://www.imdb.com/title/tt9663764/
Kiki's Delivery Service,1989,1h 43m,7.8,187K,85,"Along with her black cat Jiji, Kiki settles in a seaside town and starts a high-flying delivery service. Here begins her magical encounter with independence and responsibility, making lifelong friends and finding her place in the world.",https://www.imdb.com/title/tt0097814/
The Call,2020,1h 52m,7.1,53K,N/A,"Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably.",https://www.imdb.com/title/tt10530176/
Transformers: The Last Knight,2017,2h 34m,5.2,185K,27,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",https://www.imdb.com/title/tt3371366/
Last Breath,2025,1h 33m,6.6,37K,65,A true story that follows seasoned deep-sea divers as they battle the raging elements to rescue their crew mate trapped hundreds of feet below the ocean's surface.,https://www.imdb.com/title/tt14403504/
Sidekicks,1992,1h 41m,5.3,11K,N/A,A bullied teen who fantasizes about being Chuck Norris' sidekick trains in martial arts to fulfill his dreams.,https://www.imdb.com/title/tt0105402/
Who Framed Roger Rabbit,1988,1h 44m,7.7,233K,83,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence.",https://www.imdb.com/title/tt0096438/
Snack Shack,2024,1h 52m,7.0,17K,64,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance.",https://www.imdb.com/title/tt22004344/
Goodbye June,2025,1h 54m,6.7,9.7K,54,Follows a group of fractured siblings who must come together under sudden and trying circumstances.,https://www.imdb.com/title/tt35766629/
Speak No Evil,2022,1h 37m,6.7,64K,78,A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.,https://www.imdb.com/title/tt14253846/
Incredibles 2,2018,1h 58m,7.5,369K,80,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,https://www.imdb.com/title/tt3606756/
The Dead Don't Die,2019,1h 44m,5.4,102K,53,The focus is on the sleepy small town of Centerville where the dead become undead.,https://www.imdb.com/title/tt8695030/
Grown Ups 2,2013,1h 41m,5.4,190K,19,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes crazy follows you.",https://www.imdb.com/title/tt2191701/
