movie_name,year,duration,imdb_rating,vote_count,metascore,storyline,url
Frankenstein,2025,2h 29m,7.4,300K,78,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",https://www.imdb.com/title/tt1312221/
Wardriver,2026,1h 33m,5.3,646,N/A,A young hacker is lured into heisting the bank account of an unsuspecting woman.,https://www.imdb.com/title/tt5095076/
The Shawshank Redemption,1994,2h 22m,9.3,3.2M,82,A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.,https://www.imdb.com/title/tt0111161/
The Mortuary Assistant,2026,1h 31m,3.9,1.6K,N/A,"Follows Rebecca Owens, a mortuary science graduate who takes a night job at River Fields Mortuary. What begins as a routine job soon turns sinister as she faces terrifying supernatural forces.",https://www.imdb.com/title/tt36647890/
Ballerina,2025,2h 4m,6.8,146K,59,An assassin trained in the traditions of the Ruska Roma organization sets out to seek revenge after her father's death.,https://www.imdb.com/title/tt7181546/
Heel,2025,1h 50m,6.9,6.2K,63,"A 19-year-old criminal, Tommy, is kidnapped and forced into a rehabilitation process by a dysfunctional couple, Chris and Kathryn, who try to make him a ""good boy."" Tommy must find a way to escape.",https://www.imdb.com/title/tt34381258/
The Magic Faraway Tree,2026,1h 50m,6.8,1.1K,N/A,"A modern family relocates to the countryside where the children discover a magical tree with eccentric residents. They're transported to fantastical lands, rekindling their family bond through adventures.",https://www.imdb.com/title/tt7734244/
Train Dreams,2025,1h 42m,7.5,99K,88,"Based on Denis Johnson's beloved novella, Train Dreams is the moving portrait of Robert Grainier, a logger and railroad worker who leads a life of unexpected depth and beauty in the rapidly-changing America of the early 20th Century.",https://www.imdb.com/title/tt29768334/
Zeta,2026,2h 13m,5.8,2.3K,N/A,"A Spanish spy must track down a former spy involved in an undercover mission decades ago, while a Colombian agent is also after him. Secrets from the past are uncovered.",https://www.imdb.com/title/tt32880540/
Mardaani 3,2026,2h 9m,6.7,9.1K,N/A,It is a race against time and there will be no mercy. Shivani Shivaji Roy is back to rescue girls who go missing without a trace.,https://www.imdb.com/title/tt27673536/
The Red Line,2026,2h 15m,6.0,711,N/A,"Three women fall prey to a ruthless phone scam. To settle the score, they'll take on the criminal network that stole their money and their dignity.",https://www.imdb.com/title/tt39744394/
28 Years Later: The Bone Temple,2026,1h 49m,7.3,78K,81,"As Spike is inducted into Jimmy Crystal's gang on the mainland, Dr. Kelson makes a discovery that could alter the world.",https://www.imdb.com/title/tt32141377/
The Rip,2026,1h 53m,6.8,120K,63,"A group of Miami cops discovers a stash of millions in cash, leading to distrust as outsiders learn about the huge seizure, making them question who to rely on.",https://www.imdb.com/title/tt32642706/
The Odyssey,N/A,N/A,N/A,N/A,N/A,"After the Trojan War, Odysseus faces a dangerous voyage back to Ithaca, meeting creatures like the Cyclops Polyphemus, Sirens, and Circe along the way.",https://www.imdb.com/title/tt33764258/
Undertone,2025,1h 34m,6.2,5.1K,66,The host of a popular paranormal podcast becomes haunted by terrifying recordings mysteriously sent her way.,https://www.imdb.com/title/tt35892608/
Dune: Part Two,2024,2h 46m,8.4,731K,79,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",https://www.imdb.com/title/tt15239678/
Primate,2025,1h 32m,5.8,24K,58,"A group of friends' tropical vacation turns into a terrifying, primal tale of horror and survival.",https://www.imdb.com/title/tt33028778/
Nobody 2,2025,1h 29m,6.3,87K,59,"Suburban dad Hutch Mansell, a former lethal assassin, is pulled back into his violent past after thwarting a home invasion, setting off a chain of events.",https://www.imdb.com/title/tt28996126/
Dracula: A Love Tale,2025,2h 9m,6.2,34K,44,"When a 15th-century prince denounces God after the loss of his wife he inherits an eternal curse: he becomes Dracula. Condemned to wander the centuries, he defies fate and death, guided by a single hope - to be reunited with his lost love.",https://www.imdb.com/title/tt31434030/
Dune: Part One,2021,2h 35m,8.0,1M,74,"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.",https://www.imdb.com/title/tt1160419/
F1: The Movie,2025,2h 35m,7.6,345K,68,A Formula One driver comes out of retirement to mentor and team up with a younger driver.,https://www.imdb.com/title/tt16311594/
Wake Up Dead Man,2025,2h 24m,7.3,228K,80,Detective Benoit Blanc teams up with an earnest young priest to investigate a perfectly impossible crime at a small-town church with a dark history.,https://www.imdb.com/title/tt14364480/
